Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
АС г. Инза;73003;15.12.2016;г. Инза Ульяновская область, г. Инза, ул. Тухачевского, д. 29;"ООО ""ПАТП №2""";15;2;г. Инза (ул. Тухачевского)
ОП г. Ярцево, ул. Советская;67044;05.05.2017;г. Ярцево Смоленская обл., г. Ярцево, ул. Советская, 24;"ООО ""Ярцевперевоз""";12;5;г. Ярцево (ул. М. Горького, ул. Гагарина, ул. Советская)
Остановочный пункт п. Верхнебаканский 16км;23227;05.06.2017;п. Верхнебаканский А-290 Новороссийск - Керчь, 16км+ 950м слева, 16км+986м справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 16км
ОП п. Горный;74157;03.04.2017;п. Горный а/д М-5 «Урал» Москва – Рязань – Пенза – Самара – Уфа – Челябинск, п. Горный 1765км+960м (справа), 1765км+950м (слева);"ФКУ Упрдор ""Южный Урал""";30;2;М-5 «Урал» 1765 км, п. Горный
АС  г. Плёс;37010;20.08.2016;г. Плёс Ивановоская обл., Приволжский р-н, г. Плёс, ул. Горная Слобода, д. 33;"АО ""Ивановское производственное объединение автовокзалов и пассажирских автостанций""";3;5;Р600, г. Плёс (ул. Корнилова, ул. Горная Слобода)
ДКП г. Искитим;54020;20.10.2016;633208 г. Искитим Новосибирская область, г. Искитим, Южный микрорайон, 54;"ООО ""Бизнес-Глобал""";9;7;ул. Вокзальная, ул. Барнаульская
Анжеро-Судженская АС;42001;18.07.2016;652472 г. Анжеро-Судженск г. Анжеро-Судженск, ул. Станционная, 49Б;"Государственное учреждение ""Кузбасспассажиравтотранс""";11;1;Со стороны пгт Яя: г. Анжеро-Судженск (ул. Водоканальная), г. Анжеро-Судженск (ул. Прокопьевская), г. Анжеро-Судженск (ул. Станционная)
АС г. Отрадный;63002;13.10.2016;446301 г. Отрадный Самарская область, г. Отрадный, ул. Железнодорожная, 24;"АО ""Евразийская корпорация автовокзалов""";20;2;ул. Железнодорожная
АС г. Аткарск;64002;05.12.2016;г. Аткарск Саратовская область, г. Аткарск, ул. Гагарина, 99;"ОАО ""Саратовское объединение автовокзалов и автостанций""";3;5;г. Аткарск (ул. Телефонная, ул. Гагарина)
"Кассовый пункт ""Тума""";62010;20.02.2017;391030 рп Тума Рязанская область, Клепиковский р-н, рп Тума, ул. Ленина, 155А;"ООО ""ПассажирСервис""";5;2;рп Тума (Егорьевское шоссе, ул. Молодежная, ул. Ленина)
АС с. Балезино;18010;05.12.2016;с. Балезино Республика Удмуртия, с. Балезино, ул. Короленко, 3;"АО ""Автовокзалы Удмуртии""";10;;с. Балезино (ул. Короленко)
ОП п. Дормидонтовка;27014;20.04.2017;с. Дормидонтовка а/д А-370 «Уссури» Хабаровск– Владивосток 87км+760м (справа), 87км+635м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 87"
"АВ ООО ""Ростдонавтовокзал"" г. Ростов-на-Дону";61003;13.10.2016;344037 г. Ростов-на-Дону Ростовская область, г. Ростов-на-Дону, проспект Шолохова, 126;"ООО ""Ростдонавтовокзал""";46;10;М4, северный подъезд к г. Ростов-на-Дону, г. Ростов-на-Дону (пр. Шолохова, пл. Октябрьская четвертый съезд, пр. Шолохова)
ОП с. Изосимово 390км;68060;20.05.2017;с. Изосимово а/д Р-22 «Каспий» а/д М-4 «Дон» – Тамбов – Астрахань, 390км+028м (справа);"ФКУ Упрдор ""Москва - Волгоград""";12;5;а/д Р-22 «Каспий» а/д М-4 «Дон» – Тамбов – Астрахань, 390км
ОП с. Успенское;23338;05.05.2017;с. Успенское Краснодарский край, Успенский р-н, с. Успенское, ул. Ленина, 135А;"ОАО ""ПАТП №1""";12;2;с. Успенское (ул. Ленина, ул. Партизанская, ул. Дугинец, ул. Кирова, ул. Ленина)
ОП с. Даньшино;48024;03.04.2017;"с. Даньшино а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону – Краснодар – Новороссийск, с. Даньшино 438км+300м (справа), 436км+630м(слева)";"ГК""Автодор""";12;2;"М-4 ""Дон"": съезд в остановочный карман км 438+300 справа, км 436+630 слева, с. Даньшино"
"ОП ""Кирсанов""";68001;15.12.2016;г. Кирсанов Тамбовская область, г. Кирсанов, ул. Ухтомского, д. 55;ИП Климов Виктор Викторович;24;3;г. Кирсанов (ул. Рабоче-Крестьянская, ул. Ухтомского)
ОП  д. Денисово;40056;20.04.2017;"д. Денисово а/д М-3 «Украина» Москва – Калуга – Брянск – граница с Украиной 90км+760м (справа), 90км+720м (слева)";"ГК ""Автодор""";12;2;"А/д М-3 ""Украина"": Съезд в остановочный карман км 90"
ОП г. Суджа;46001;05.05.2017;370800 г. Суджа Курская область, г. Суджа, ст. Суджа;"АО ""Суджаавтотранс""";12;5;1 вариант: г. Суджа (ул. Октябрьская), 2 вариант:  г. Суджа (ул. Привокзальная), 3 вариант:  г. Суджа (ул. Энгельса)
АВ г. Орск;56010;21.11.2016;462401 г. Орск Оренбургская область, г. Орск, пл. Гагарина, 1А;ИП Калашников Дмитрий Вячеславович;10;5;г. Орск (пл. Гагарина)
АС с. Дебесы;18008;05.12.2016;с. Дебесы Республика Удмуртия, с. Дебесы, ул. Андронова, 16А;"АО ""Автовокзалы Удмуртии""";5;;с. Дебесы (ул. Андронова)
"АВ ""Столичный"" г. Казань";16011;15.12.2016;г. Казань Республика Татарстан, г. Казань, ул. Девятаева, д. 15;"ООО ""Автовокзал ""Столичный""";60;10;г. Казань (ул. Татарстан, ул. Девятаева)
КП с. Красноусольск;2020;15.12.2016;453050 с. Красноусольск Республика Башкортостан, Гафурийский р-н, с. Красноусольск, ул. Коммунистическая, 29;"ГУП ""Башавтотранс""";6;2;с. Красноусольск (ул. Коммунистическая)
Кассовый пункт с. К.Мияки;2038;20.08.2016;452080 с. К.Мияки Республика Башкортостан, Миякинский район, с. К. Мияки, ул. Губайдуллина, 138;"ГУП ""Башавтотранс""";9;2;Со стороны  Республики Татарстан и Оренбургской области - с. К.Мияки (ул. Губайдуллина)
Остановочный пункт п. Белый 80км-1;23083;05.06.2017;п. Белый А-290 Новороссийск - Керчь, 80км+077м справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 80км
АС с. Панкрушиха;22013;22.03.2017;658760 с. Панкрушиха Алтайский край, Панкрушихинский р-н, с. Панкрушиха, ул. Речная, 1;ИП Звягинцев Александр Николаевич;12;8;1 вариант: со стороны г. Барнаула, г. Новосибирска, г. Камень-на-Оби, г. Славгород, г. Павлодар, с. Панкрушиха (ул. Советская), 2 вариант: со стороны г. Славгород, г. Яровое, с. Панкрушиха (ул. Ленина)
АС г. Венев;71023;04.10.2016;301320 г. Венев Тульская область, г. Венев, ул. Бундурина, д. 1а;"ООО ""Актив инвест""";18;2;М-4, г. Венев (ул. 9 Мая, ул. Бундурина)
ОП пгт Хомутовка;46017;13.10.2016;307540 пгт Хомутовка Курская область, пгт Хомутовка, ул. Кирова, 32;"ООО ""Региональное объединение автостанций""";12;5;"А-142 ""Тросна-Калиновка"", а/д ""Хомутовка-Рыльск-Глушково"", пгт Хомутовка (ул. Кирова)"
ОП с. Ключевое;79027;20.04.2017;"с. Ключевое а/д Р-297 «Амур» Чита– Невер – Свободный – Архара – Биробиджан – Хабаровск 2141км+357м (справа), 2141км+361м (слева)";"ФКУ""Дальуправтодор""";12;5;"а/д Р-297 ""Амур"": автобусная остановка на км 2141"
Кассовый пункт ст. Холмская;23065;13.03.2017;353309  ст. Холмская Краснодарский край, Абинский р-н, ст. Холмская, ул. Мира,5;"АФ ""Кубаньпассажиравтосервис"" ОАО";12;2;ст. Холмская (ул. Мира)
КП с. Янгантау;2056;04.10.2016;452492 с. Янган-Тау Республика Башкортостан, Салаватский район, с. Янгантау, ул. С.Юлаева, 4;"ГУП ""Башавтотранс""";6;4;"а/д ""Кропачево - Ачит - д. Чулпан - санаторий Янган-Тау"" ул. Салавата Юлаева"
ОП с. Ремонтное;61028;20.10.2016;347480 с. Ремонтное Ростовская область, с. Ремонтное, ул. Гоголя, 97;"ПАО ""Донавтовокзал""";90;1;ул. Садовая, ул. Базарная, ул. Гоголя
ОП г. Сафоново 295км-2;67068;20.04.2017;г. Сафоново а/д М-1 «Беларусь» Москва – граница с Республикой Беларусь 295км+914м (слева);"ГК ""Автодор""";12;2;"а/д М-1 ""Беларусь"": Съезд в остановочный карман км 295"
ОП п. Мийнала;10068;20.05.2017;п. Мийнала а/д А-121 «Сортвала» Санкт-Петербург – Сортвала – автомобильная дорога Р-21 «Кола», 233км+301м (слева), 230км+414м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-121 «Сортвала» Санкт-Петербург – Сортвала – автомобильная дорога Р-21 «Кола», 233км
АС г. Приволжск;37027;13.10.2016;155550 г. Приволжск Ивановская область, г. Приволжск, Станционный проезд, 9;ИП Олина Светлана Юрьевна;14;2;1 вариант: г. Москва, г. Иваново, г. Волгореченск, г. Ярославль (ул. Фурманова, ул. Шагова, ул. Революционная, ул. Большая Московская, ул. Станционный проезд), 2 вариант: г. Плес (Плесский тракт, ул. Станционный проезд), 3 вариант: г. Йошкар-Ола (ул. Восточная, 2-й Рабочий переулок, ул. Революционная, ул. Советская, ул. Станционный проезд)
ОП с. Узы-Тамак;2267;05.05.2017;"с. Узы-Тамак а/д М-5 ""Урал"" Москва – Пенза – Самара – Уфа – Челябинск, 1439км+458м (справа), 1439км+409м (слева)";"ФКУ Упрдор ""Приуралье""";30;5;"а/д М-5 ""Урал"", съезд в остановочный карман 1439 км"
ОП д. Тимохино;40100;20.04.2017;д. Тимохино а/д М-3 «Украина» Москва – Калуга – Брянск – граница с Украиной 150км+650м (справа), 150км+650м (слева);"ГК ""Автодор""";12;2;"А/д М-3 ""Украина"": Съезд в остановочный карман км 150"
Остановочный пункт с. Б. Михайловское;69086;05.06.2017;с. Михайловское а/д «Сергиев Посад – Калязин – Рыбинск – Череповец», 56км+82м (справа), 56км+844м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Сергиев Посад – Калязин – Рыбинск – Череповец», 56км
ОП г. Балабаново 93км;40057;20.04.2017;г. Балабаново а/д М-3 «Украина» Москва – Калуга – Брянск – граница с Украиной 93км+775м (слева);"ГК ""Автодор""";12;2;"А/д М-3 ""Украина"": Съезд в остановочный карман км 93"
Остановочный пункт п. Ильский-5;23448;05.06.2017;п. Ильский а/д А-146 «Краснодар - Верхнебаканский», 56км+729м (справа), 56км+526м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-146 Краснодар - Верхнебаканский, п. Ильский, ул. Мира
Диспетчерско-кассовый пункт г. Серпухов;50008;20.02.2017;142200 г. Серпухов Московская область, г. Серпухов, ул. Ворошилова, 214;"ГУП МО ""Мострансавто""";132;5;1 вариант: из г. Москвы: г. Серпухов (Московское ш., ул. 1-я Московская, ул. Советская, ул. Ворошилова), 2 вариант: из Калужской области: г. Серпухов (ул. Чернышевского, ул. Володарского, ул. 1-я Московская, ул. Ворошилова), 3 вариант: из Тульской области: г. Серпухов (Борисовское ш., ул. Ворошилова)
КП Аэропорт г. Уфа;2067;20.10.2016;450501 г. Уфа Республика Башкортостан, Уфимский район, с.Булгаково, мкр. Аэропорт;"ГУП ""Башавтотранс""";3;3;ул. Аэропорт
АС п. Добринка;48004;13.03.2017;399430 п. Добринка Липецкая обл., Добринский р-н, п. Добринка, ул. Ленинская, 76;"ОАО ""Добринское АТП""";3;6;п. Добринка (ул. Фрунзе, ул. Кирова, ул. Профсоюзная, ул. Правды)
КП г. Мелеуз;2011;04.10.2016;453850 г. Мелеуз Республика Башкортостан, г. Мелеуз, ул. Левонабережная, 24;"ГУП ""Башавтотранс""";21;3;"1 вариант: со стороны а/д ""Уфа - Оренбург"" (западный въезд), г. Мелеуз (ул. Бурангулова), 2 вариант: со стороны а/д ""Оренбург-Уфа"" (южный въезд), г. Мелеуз (ул. Ленина, ул. Бурангулова)"
Каменская автостанция;22007;21.11.2016;658701 г. Камень-на-Оби Алтайский край, г. Камень-на-Оби, ул. Пушкина, 125;"ОАО ""Каменское ПАТП""";3;5;Со стороны Барнаула, Павловска (Барнаульский тракт, ул. Гоголя, ул. Крылова, ул. Пушкина, ул. Демьяна Бедного), Со стороны Кемерово, Новосибирска (ул. Каменская, ул. Гагарина, ул. Демьяна Бедного), Со стороны Павлодара, Славгорода, Благовещенки (Новоярковский тракт, ул. Демьяна Бедного)
Ейский автовокзал;23013;02.02.2017;353691 г. Ейск Краснодарский край, г. Ейск, ул. Коммунистическая, д. 18;"АФ ""Кубаньпассажиравтосервис"" ОАО";22;10;г. Ейск (Р-250, ул. Щорса, ул. Коммунистическая)
АВ г. Великий Новгород;53001;22.03.2017;173000 г. Великий Новгород Новгородская область, г. Великий Новгород, ул. Октябрьская, 1;"ООО ""НПАТК""";22;10;г. Великий Новгород (ул. Большая Санкт-Петербургская, ул. Германа, ул. Октябрьская)
ОП с. Малое Полпино;32050;20.04.2017;с. Малое Полпино а/д М-3 «Украина» Москва – Калуга – Брянск – граница с Украиной 354км+612м (справа), 354км+586м (слева);"ГК ""Автодор""";12;2;"А/д М-3 ""Украина"": Съезд в остановочный карман км 354"
ОП п. Баковка;50478;20.04.2017;п. Баковка а/д М-1 «Беларусь» Москва – граница с Республикой Беларусь 21км+289м (справа), 21км+384м (слева);"ГК ""Автодор""";12;2;"а/д М-1 ""Беларусь"": Съезд в остановочный карман км 21"
Кассовый пункт пгт Ильский;23092;13.03.2017;353232 пгт Ильский Краснодарский край, Северский р-н, пгт Ильский, ул. Мира;"АФ ""Кубаньпассажиравтосервис"" ОАО";12;2;А146, пгт Ильский (ул. Мира)
ОП г. Адыгейск 1355км;1065;05.05.2017;г. Адыгейск  а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1355км+065м (справа);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1355км"
АС Суздальская;33015;20.08.2016;601293 г. Суздаль Владимирская обл., г. Суздаль, ул. Васильевская, д. 44;"ГУП ""Владимирский автовокзал""";20;5;г. Суздаль (ул. Васильевская)
АС с. Ельники;13016;29.09.2016;431370 с. Ельники Республика Мордовия, с. Ельники, ул. Королева, 9;"ОАО  ""Объединение автовокзалов и автостанций""";6;5;ул. Заречная, ул. Садовая, ул. Королева
АС с. Большие Березники;13013;29.09.2016;431750 с. Большие Березники Республика Мордовия, с. Большие Березники, ул. Горького, 79А;"ОАО  ""Объединение автовокзалов и автостанций""";6;5;"а/д ""Чамзинка-Большие Березники"", ул. М. Горького"
АС г. Павловск;36012;19.01.2017;396420 г. Павловск Воронежская область, г. Павловск, ул. 40 лет Октября, 7А;"ООО ""Павловскавтотранс""";12;5;г. Павловск (М4, ул. 40 лет Октября)
"АС ""Евробус-68""";68004;20.02.2017;г. Моршанск Тамбовская область, г. Моршанск, ул. Пролетарская, 114;ИП Филаткин Алексей Валерьевич;3;2;1 вариант: со стороны г. Тамбова: г. Моршанск (ул. Крылова, ул. Интернациональная, ул. Гражданская), 2 вариант: со стороны г. Москвы: г. Моршанск (ул. Ленина, ул. Сакко-Ванцетти, ул. Гражданская)
Остановочный пункт п. Цемдолина 7км-1;23420;05.06.2017;п. Цемдолина А-290 Новороссийск - Керчь, 7км+ 136м слева, 7км+188м справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 7км
"КП ""Глядянский""";45024;18.07.2016;с. Глядянское Курганская обл., с. Глядянское, ул. Космонавтов, 13;Курганское ОАО по обслуживанию пассажирских автоперевозок;12;5;с. Глядянское (ул. Ленина), с. Гляданское (ул. Космонавтов)
Невинномысская автостанция;26010;02.08.2016;357114 г. Невинномысск Ставропольский край, г. Невинномысск, Бульвар Мира, д. 39;"ОАО ""Автовокзал""";28;5;1 вариант: г. Невинномысск (ул. Краснопартизанская, ул.Бульвара Мира), 2 вариант: г. Невинномысск (ул. Гагарина, ул. Бульвара Мира)
ОП д. Шаховка;76066;22.05.2017;д. Шаховка а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 319км+750м (справа), 319км+700м (слева);Департамент транспорта Ярославской области;30;2;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 319км
ОП п. Онежский;10053;20.05.2017;п. Онежский а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 484км+254м (слева), 484км+301м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 484км
Остановочный пункт с. Куратово;11063;05.06.2017;с. Куратово а/д Р-176 «Вятка», Чебоксары – Йошкар-Ола – Киров – Сыктывкар, 679км+047м (справа), 679км+047м (слева);"ФКУ Упрдор ""Прикамье""";12;5;"а/д Р-176 ""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар, 679км"
АС рп Даниловка;34013;20.10.2016;403370 рп Даниловка Волгоградская область, рп Даниловка, ул. Центральная, 95;"ГУП ""Волгоградское областное предприятие ""Вокзал-авто""";20;1;"а/д ""Михайловка-Даниловка"", а/д ""Рудня-Даниловка"", ул. Центральная, а/д ""Камышин-Даниловка"", ул. Советская, ул. Центральная"
АС ст. Кущевская;23030;13.10.2016;352030 ст. Кущевская Краснодарский край, ст. Кущевская, ул. Транспортная, 8;"АФ ""Кубаньпассажиравтосервис"" ОАО";19;10;ст. Кущевская (М4 (Дон), без заезда в центр ст. Кущевская)
Остановочный пункт ст. Юго-Северная 50км;23439;05.06.2017;ст. Юго-Северная а/д Р-217 «Кавказ» а/д М-4 «Дон» – Владикавказ – Грозный – Махачкала – граница с Азербайджанской Республикой, 50км+480м (справа), 50км+600м (слева);"ФКУ Упрдор ""Черноморье""";12;5;"а/д Р-217 ""Кавказ"" а/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой, ст. Юго-Северная, ул. Северная"
ОП ст. Новотроицкая;26033;02.08.2016;356100 ст. Новотроицкая Ставропольский край, Изобильненский район, ст. Новотроицкая, пер. Грейдерный, д. 13;"ОАО ""Автовокзал""";36;5;1 вариант: ст. Новотроицкая (пер. Грейдерный), 2 вариант: ст. Новотроицкая (пер. Грейдерный, ул. Колхозная)
ОП с. Чибит;4114;22.03.2017;"с. Чибит АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай) 783км.+ 336м. (справа), 783км.+ 282м. (слева)";"ФКУ Упрдор ""Алтай""";12;5;"АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай), 783 км, с. Чибит"
КП г. Ряжск;62013;05.12.2016;391910 г. Ряжск Рязанская область, г. Ряжск, ул. Пролетарская, 9а;"ООО ""ПассажирСервис""";5;10;г. Ряжск (ул. Энгельса, ул. Пролетарская)
АС г. Лениногорск;16077;20.02.2017;423250 г. Лениногорск Республика Татарстан, г. Лениногорск, ул. Вахитова, 10, стр1;"ООО ""Спутник""";14;2;1 вариант: г. Лениногорск (ул. Чайковского), 2 вариант: г. Лениногорск (ул. Бугульминская, ул. Чайковского), 3 вариант: г. Лениногорск (ул. Октябрьская, ул. Строителей)
ОП г. Сафоново 296км;67069;20.04.2017;г. Сафоново а/д М-1 «Беларусь» Москва – граница с Республикой Беларусь 296км+115м (справа), 296км+363м (слева);"ГК ""Автодор""";12;2;"а/д М-1 ""Беларусь"": Съезд в остановочный карман км 296"
ОП с. Бжид;23300;05.05.2017;с. Бжид а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1444км+938м (справа), 1444км+967м (слева);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1444км"
Остановочный пункт п. Цемдолина 7км-2;23421;05.06.2017;п. Цемдолина А-290 Новороссийск - Керчь, 7км+ 628м слева, 7км+619м справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 7км
ОП г. Касли;74008;20.02.2017;456830 г. Касли Челябинская область, г. Касли, ул. Ленина, 71;"ООО ""Вишневогорское АТП""";4;5;"а/д ""Кыштым - Тюбук"", г. Касли (ул. Ленина)"
Остановочный пункт д. Титово 5км;69031;05.06.2017;д. Титово а/д «Кимры – граница Московской области», 5км+551м (справа), 5км+496м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Кимры – граница Московской области», 5км
"Кассовый пункт ""Спас-Клепики""";62009;20.02.2017;391030 г. Спас-Клепики Рязанская область, Клепиковский р-н, г. Спас-Клепики, ул. Просвещения, 14;"ООО ""ПассажирСервис""";5;2;г. Спас-Клепики (Егорьевское шоссе, ул. Московская, ул. Советская, ул. Просвещения)
АС п. Некрасовское;76004;19.01.2017;152260 п. Некрасовское Ярославская обл., Некрасовский р-н, пос. Некрасовское, ул. Санаторная, д. 18;"ГБУ ЯО ""Яроблтранском""";4;5;п. Некрасовское (ул. Свободы, ул. Малосольская, ул. Санаторная), п. Некрасовское (ул. Советская, ул. Кооперативная,  ул. Малосольская, ул. Санаторная)
ОП г. Кубинка 64км;50489;20.04.2017;г. Кубинка а/д М-1 «Беларусь» Москва – граница с Республикой Беларусь 64км+010м (справа);"ГК ""Автодор""";12;2;"а/д М-1 ""Беларусь"": Съезд в остановочный карман км 64"
"АВ ""Северный"" г. Екатеринбург";66002;08.09.2016;620107 г. Екатеринбург г. Екатеринбург, ул. Вокзальная, 15а;ИП Ильяшенко Сергей Юрьевич;57;1;"Северное направление: Автодорога 65К-4103000,  ул. Расточная, ул. Билимбаевская, ул. Таватуйская, ул. Бебеля, ул. Черепанова, ул. Стрелочников, пер. Невьянский, ул. Вокзальная, Московское направление: Автодорога Р-242/Е22, ул. Металлургов, ул. Серафимы Дерябиной, ул. Токарей, ул. Репина, пр. Ленина, ул. Московская, ул. Челюскинцев, пер. Невьянский, ул. Вокзальная, Режевское направление: Автодорога 65К-3504000, автодорога 65К-4108000, ул. Трудовая, ул. Губахинская, ул. Проезжая, ул. Блюхера, ул. Д. Зверева,  ул. Сулимова, ул. Смазчиков, ул. Челюскинцев, ул. Стрелочников, пер. Невьянский, ул. Вокзальная, Сибирское направление: Федеральная дорога Р351/Е22, автодорога Дублер Сибирского тракта, Егоршинский подход, ул. Малышева, ул. Мира, пр. Ленина, ул. Восточная, ул. Челюскинцев, ул. Стрелочников, пер. Невьянский, ул. Вокзальная, Челябинское направление: Автодорога М-7, ул. Димитрова, ул. Пархоменко, ул. Щербакова, ул. Белинского, ул. Карла Либкнехта, ул. Я. Свердлова, ул. Челюскинцев, ул. Стрелочников, пер. Невьянский, ул. Вокзальная, Полевское направление: Автодорога 65К-4105000, ул. Селькоровская, ул. Титова, ул. 8 Марта, ул. Бориса Ельцина, ул. Челюскинцев, ул. Стрелочников, пер. Невьянский, ул. Вокзальная, От Южного автовокзала г. Екатеринбурга: ул. С. Разина,  ул. Щорса, ул. Щербакова, ул. Белинского, ул. Карла Либкнехта, ул. Я. Свердлова, ул. Челюскинцев, ул. Стрелочников, пер. Невьянский, ул. Вокзальная, От аэропорта ""Кольцово"": Автодорога 65К-4101000, ул. Луганская, ул. Машинная, ул. Фурманова, ул. Белинского, ул. Карла Либкнехта,  ул. Я. Свердлова, ул. Челюскинцев, ул. Стрелочников, пер. Невьянский, ул. Вокзальная"
Кассовый пункт пгт Вишневогорск;74094;20.02.2017;456825 пгт Вишневогорск Челябинская область, Каслинский р-н, пгт Вишневогорск, ул. Клубная, 8;"ООО ""Вишневогорское АТП""";4;5;пгт Вишневогорск (ул. Советская, ул. Клубная)
ОП п. Мариничи;32036;20.05.2017;п. Мариничи а/д Р-120 Орел – Брянск – Смоленск – гр. с Республикой Беларусь 63км+450м (справа), 63км+400м (слева);"ФКУ Упрдор ""Москва - Бобруйск""";12;5;а/д Р-120 Орел – Брянск – Смоленск – гр. с Республикой Беларусь 63км
ОП с. Старая Отрада;2273;05.05.2017;с. Старая Отрада а/д Р-240 Уфа – Оренбург, 254км+115м (слева);"ФКУ Упрдор ""Приуралье""";30;5;а/д Р-240 Уфа - Оренбург, 254 км
Крутихинский ОП;22163;13.03.2017;658750 с. Крутиха Алтайский край, Крутихинский р-н, с. Крутиха, ул. Ленинградская, 21, пом. Н2;Муниципальное образование Крутихинского района Алтайского края;12;5;1 вариант: со стороны г. Баранул, г. Камень-на-Оби (ул. Гагарина, ул. Ленинградская),, 2 вариант: со стороны г. Новосибирск, г. Славгород (ул. Северная)
"АВ г. Казань на ЖДВ ""Восстание""";16029;20.10.2016;420039 г. Казань Республика Татарстан, г. Казань, ул. Воровского, 33;"ООО ""Седьмое частное автотранспортное объединение""";12;10;А295, г. Казань (Горьковское шоссе, ул. Восстание, ул. Восход, ул. Воровского)
Остановочный пункт д. Полумихалево;69154;05.06.2017;д. Полумихайлево а/д «Сергиев Посад – Калязин – Рыбинск – Череповец», 61км+183м (справа), 61км+151м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Сергиев Посад – Калязин – Рыбинск – Череповец», 61км
Остановочный пункт д. Святье;69037;05.06.2017;д. Святье а/д «Дубна – Кимры – Горицы», 9км+802м (справа), 9км+468м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Дубна – Кимры – Горицы», 9км
ОП с. Летно-Хвалынское;25013;20.04.2017;с. Летно-Хвалынское а/д А-370 «Уссури» Хабаровск– Владивосток 526км+654м (справа), 526км+658м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 526"
ОП д. Красная Горка;76029;22.05.2017;д. Красная Горка а/д Пошехонье – Кукобой – Бакланка, 207км+397м (справа), 207км+143м (слева);Департамент транспорта Ярославской области;30;2;а/д Пошехонье – Кукобой – Бакланка, 207км
АС г. Пустошка;60015;02.02.2017;182300 г. Пустошка Псковская область, г. Пустошка, ул. Железнодорожная, 12б;"ГП Псковской области ""Псковавтотранс""";8;10;г. Пустошка (ул. Железнодорожная)
Остановочный пункт п. Цемдолина 6км-2;23419;05.06.2017;п. Цемдолина А-290 Новороссийск - Керчь, 6км+ 651м слева, 6км+530 справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 6км
Бежицкая автостанция;32003;29.09.2016;241035 г. Брянск Брянская область, г. Брянск, ул. Ульянова, 58а;"ООО ""Транзит""";15;2;ул. Ульянова
ОП п. Орловский;61020;20.10.2016;347512 п. Орловский Ростовская область, п. Орловский, пер. Февральский, 89 б, стр. 1;"ПАО ""Донавтовокзал""";60;1;пер. Кировский, ул. Коммунальная, 1-й пер. Конной Армии, ул. Транспортная,пер. Чапаевский, ул. М. Горького, пер. Февральский
ОП д. Масловка;32024;20.05.2017;д. Масловка а/д Р-120 Орел – Брянск – Смоленск – гр. с Республикой Беларусь 77км+400м (справа), 77км+350м (слева);"ФКУ Упрдор ""Москва - Бобруйск""";12;5;а/д Р-120 Орел – Брянск – Смоленск – гр. с Республикой Беларусь 77км
ОП г. Рассвет 1047 км;61087;03.04.2017;"г. Рассвет а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону – Краснодар – Новороссийск, г. Рассвет 1047км+070м (справа), 1047км+040м (слева)";"ГК""Автодор""";20;2;"М-4 ""Дон"" 1047 км, г. Рассвет"
АС с. Кочкурово;13017;29.09.2016;431580 с. Кочкурово Республика Мордовия, с. Кочкурово, ул. Советская, 115;"ОАО  ""Объединение автовокзалов и автостанций""";6;5;"а/д ""Саранск-Кочкурово"", ул. Советская"
