Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
ОП п. Куряты;38033;05.05.2017;"п. Куряты а/д Р-255 ""Сибирь"" Новосибирск – Кемерово – Красноярск – Иркутск, 1363км+751м (справа), 1363км+228м (слева)";"ФКУ Упрдор ""Прибайкалье""";12;5;"а/д Р-255 ""Сибирь"", съезд в остановочный карман, 1363 км"
ОП д. Павловское;50476;05.05.2017;д. Павловское а/д А-107 «Московское малое кольцо» 31км+743м (справа), 31км+680м (слева);"ГК ""Автодор""";12;2;а/д А-107 «Московское малое кольцо», Можайско-Волоколамское шоссе: съезд в остановочный карман 31км
ОП с. Сарагаш;19049;05.05.2017;"с. Сарагаш ФАД М-54 ""Енисей"" (Р-257 ""Енисей"") км 257+250 - км 424 Республика Хакасия, 271км+950м (справа), 271км+980м (слева)";"ФКУ ""Байкалуправтодор""";24;5;"ФАД М-54 ""Енисей"" (Р-257 ""Енисей"") км 257+250 - км 424 Республика Хакасия, 271км"
Остановочный пункт п. Хамышки 69км;1168;05.06.2017;п. Хамышки а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 69км+350м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 69км
ОП д. Пеклино;32025;20.05.2017;д. Пеклино а/д Р-120 Орел – Брянск – Смоленск – гр. с Республикой Беларусь 194км+550м (справа), 194км+300м (слева);"ФКУ Упрдор ""Москва - Бобруйск""";12;5;а/д Р-120 Орел – Брянск – Смоленск – гр. с Республикой Беларусь 194км
АС г. Новомичуринск;62003;19.01.2017;391160 г. Новомичуринск Рязанская обл., г. Новомичуринск, д. 49Д;"ОАО ""Пассажиравтосервис""";5;2;г. Новомичуринск (пр-т Энергетиков)
АВ г. Щекино;71020;04.10.2016;301245 г. Щекино Тульская область, г. Щекино, ул. Советская, д. 12;"ООО ""Актив инвест""";35;2;М-2, г. Щекино (ул. Советская, д. 12)
АС п. Кромы;57012;26.07.2016;п. Кромы Орловская обл., п. Кромы, ул. 25-го Октября, д. 1;"АО ""Орелавтотранс""";20;5;п. Кромы (ул. 25-го Октября)
Остановочный пункт д. Крева;69047;05.06.2017;д. Крева а/д «Дубна – Кимры – Горицы», 3км+822м (справа), 3км+805м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Дубна – Кимры – Горицы», 3км
ОП д. Чёлмужи;10046;20.05.2017;д. Чёлмужи а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 555км+410м (слева), 555км+367м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 555км
АС с. Алнаши;18041;05.12.2016;с. Алнаши Республика Удмуртия, с. Алнаши, пер. Пионерский, 3В;"АО ""Автовокзалы Удмуртии""";5;;с. Алнаши (ул. Красильникова)
АС г. Судогда;33014;13.10.2016;601351 г. Судогда Владимирская область, г. Судогда, Муромское шоссе, 6;"ГУП ""Владимирский автовокзал""";30;10;Со стороны г. Владимир: ул. Ошмарина, ул. Ленина, Муромское шоссе, Со стороны г. Муром: ул. Чапаева, Муромское шоссе
АВ г. Ялуторовск;72026;29.09.2016;г. Ялуторовск Тюменская область, г. Ялуторовск, ул. Новикова, 34;"ГБУ ТО ""Объединение АВ и АС""";9;5;"1 вариант: Р-402, ул. Бахтиярова, ул. Луговая, ул. Красноармейская, ул. Новикова, 2 вариант: Р-404, а/д ""Ялуторовск-Ярково"", ул. Щорса, ул. Ишимская, ул. Чкалова, ул. Ленина, ул. Скворцова-Степанова, ул. Новикова"
Новоалександровская автостанция;26012;02.08.2016;356000 г. Новоалександровск Ставропольский край, г. Новоалександровск, ул. Железнодорожная, д. 49;"ОАО ""Автовокзал""";12;5;1 вариант: г. Новоалександровск (ул. Маршала Жукова), г. Новоалександровск (ул. Железнодорожная), 2 вариант: г. Новоалександровск (ул. Железнодорожная), г. Новоалександровск (ул. Апанасенко)
Остановочный пункт с. Садовое;1153;05.06.2017;с. Садовое а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 55км+884м (слева), 55км+941м (справа);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 55км
Астостанция г. Киров;40050;13.03.2017;"249440 г. Киров Калужская область, г. Киров, ул. Кирова, 3""а"", пом. 1";ИП Пахомов Сергей Владимирович;8;5;1 вариант: г. Киров (ул. Пролетарская, ул. Кирова), 2 вариант:  г. Киров (ул. Жмакина, ул. Кирова)
"КП ""Верхняя Терраса"" г. Ульяновск";73116;19.01.2017;г. Ульяновск Ульяновская обл., г. Ульяновск, Димитровградское шоссе, д. 20;"ООО ""ПАТП №2""";96;5;г. Ульяновск (Димитровградское шоссе)
АС с. Ивантеевка;64019;04.10.2016;412781 с. Ивантеевка Саратовская область, с. Ивантеевка, ул. Зеленая, 26А;"ОАО ""Саратовское объединение автовокзалов и автостанций""";3;5;с. Ивантеевка (ул. Зеленая)
Остановочный пункт д. Лохово;69133;05.06.2017;д. Лохово а/д «Москва – Рига – Торопец – Плоскошь», 15км+450м (справа), 15км+333м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Москва – Рига – Торопец – Плоскошь», 15км
АС г. Льгов;46009;13.10.2016;307751 г. Льгов Курская область, г. Льгов, ул. Вокзальная;"ООО ""Региональное объединение автостанций""";3;5;"Р-199 ""Курск-Рыльск-Глухов"", г. Льгов (ул. Л. Толстого, ул. Вокзальная)"
АС рп Арти;66044;21.11.2016;623340 рп Арти Свердловская область, рп Арти, ул. Рабочей Молодежи, д. 95;"ГУП СО ""Свердловское областное объединение пассажирского автотранспорта""";7;1;1 вариант: 65К-1604000, рп Арти (ул. Рабочей молодежи, ул. Ленина), 2 вариант: 65 ОП РЗ 65К-1402000, рп Арти (ул. Козлова, ул. Рабочей молодежи)
ОП г. Звенигород 16км;50475;05.05.2017;г. Звенигород а/д А-107 «Московское малое кольцо» 16км+507м (справа), 16км+481м (слева);"ГК ""Автодор""";12;2;а/д А-107 «Московское малое кольцо», Можайско-Волоколамское шоссе: съезд в остановочный карман 16км
Остановочный пункт д. Сидорово;69114;05.06.2017;д. Сидорово а/д «Старица – Степурино – Сидорово – граница Московской области», 32км+118м (справа), 32км+079м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Старица – Степурино – Сидорово – граница Московской области», 32км
